ID,Fname,Lname,birthday,gender,nationality,experience,matches,wins,losses,awards,position,height,weight,shirtNumber,CoachID
29,Sibeal,Antonignetti,14/07/1985,Female,US,17,344,228,131,10,C,204,65,13,6502
30,Mada,Eakley,08/08/1976,Female,PH,37,456,443,322,7,C,206,88,3,5413
31,Eyde,Hassent,23/02/1982,Female,CN,3,334,411,114,1,C,185,79,19,6714
32,Gwyn,Aingel,12/05/1962,Female,PT,22,23,51,238,3,SG,203,87,20,2814
33,Sanders,Catcheside,02/01/1960,Male,ID,12,534,418,438,9,PF,196,77,8,10765
34,Bronson,Wisdom,10/09/1974,Male,RU,26,252,484,178,8,PG,193,66,17,9185
35,Peadar,Kordova,02/04/1972,Male,BR,19,497,48,342,1,SF,191,77,9,6570
36,Stepha,Rappport,18/09/1963,Female,VE,12,743,406,164,2,SF,192,83,6,13263
37,Carlynn,Imlock,17/10/1977,Female,PH,15,844,285,328,7,C,199,81,24,17171
38,Alaster,Starzaker,11/02/1963,Male,ID,19,597,83,149,4,SG,192,61,34,18517
39,Jamie,Sailor,05/02/1963,Male,ME,18,288,283,462,5,PG,206,60,24,4471
40,Nicolas,Demageard,13/08/1963,Male,DK,27,586,80,313,4,SF,192,70,1,17631
41,Konstantin,Devennie,22/09/1987,Male,NG,39,702,303,420,5,SF,204,83,3,13807
42,Emera,Scoines,11/03/1978,Female,CN,21,426,481,11,3,PF,200,79,5,19652
43,Herrick,Manilove,15/03/1969,Male,TH,23,649,66,495,9,PG,201,78,6,7442
44,Freddie,Asche,14/07/1967,Male,AF,12,92,345,133,2,C,198,77,29,9391
45,Andreas,Zucker,24/09/1978,Male,TH,15,433,305,172,6,PG,192,61,14,10393
46,Jaquelin,Colquitt,16/11/1972,Agender,ID,24,907,452,328,4,PF,205,76,39,18870
47,Graehme,Pauling,23/10/1984,Male,RU,31,145,108,182,3,PG,208,87,20,2671
48,Trev,Chaperling,11/12/1964,Male,US,29,299,248,102,1,SF,194,62,18,14704
49,Lorens,Clorley,20/12/1963,Male,AR,36,946,465,251,2,PF,186,78,4,5309
50,Alberto,Eannetta,13/09/1981,Male,RU,14,936,460,148,1,PF,194,83,2,14281
51,Yolande,Saundercock,22/11/1965,Female,RU,17,652,54,208,4,SF,207,75,10,2026
52,Mortimer,Eisold,24/12/1986,Male,CN,40,540,427,109,6,SF,190,71,31,14526
53,Colver,Billingsley,12/01/1977,Male,RU,12,544,53,211,4,C,191,69,40,9574
54,Lucilia,Willavoys,01/06/1980,Female,CN,26,539,338,162,3,SG,202,61,24,19791
55,Kermy,Fruish,26/03/1989,Male,CN,3,181,121,291,1,PF,198,73,28,10102
56,Perle,Sallier,05/09/1980,Female,US,14,844,132,442,10,PG,210,66,6,548
57,Fiann,Krzyzowski,29/08/1985,Female,KZ,39,838,362,470,10,SG,198,66,22,4901
58,Tanhya,Wondraschek,22/02/1975,Female,AF,26,560,179,470,9,C,202,84,33,13012
59,Clive,Mockford,16/07/1967,Male,PS,10,158,212,400,10,PF,186,83,23,6824
60,Alex,Sleeman,29/08/1969,Female,CR,13,667,40,136,2,SF,193,79,23,4478
61,Olly,Farren,29/11/1968,Female,SE,38,319,15,53,5,PF,194,71,33,653
62,Blithe,Pounder,04/10/1983,Female,RU,24,324,72,490,10,PG,192,71,24,11083
63,Jon,Davana,11/08/1974,Genderfluid,BR,40,332,164,497,1,PF,186,87,18,17087
64,Adair,Frampton,04/04/1977,Male,ID,37,577,77,252,5,PG,210,72,14,16061
65,Cointon,Ferrers,11/10/1969,Male,RU,18,851,225,433,4,PG,199,66,13,18477
66,Sallyann,Treble,02/08/1967,Female,ID,4,388,243,17,4,SF,192,70,11,768
67,Dione,Ollerton,15/08/1961,Female,PH,24,666,6,168,7,C,188,67,22,10108
68,Major,Janoch,14/03/1965,Male,KM,30,779,378,145,2,SG,203,90,3,17517
69,Farra,Hales,23/08/1963,Female,US,20,167,275,383,3,SF,204,65,27,9036
70,Pepi,Patesel,28/10/1963,Agender,PK,11,194,271,455,5,PF,190,71,35,3299
71,Ingaborg,McLane,22/03/1964,Female,PL,27,91,201,360,7,PF,193,66,36,8434
72,Shannah,Snedden,02/11/1978,Female,US,13,255,337,74,1,C,207,76,33,6680
73,Shelba,MacWhan,18/07/1982,Female,SE,16,886,366,187,3,PG,201,66,21,19305
74,Scotti,Simonel,29/05/1989,Male,TH,21,936,49,223,4,PG,205,83,22,11397
75,Benjamen,Staten,25/05/1987,Male,GR,32,31,243,128,2,C,206,85,10,16826
76,Arther,Clare,23/12/1964,Male,AR,21,842,149,486,7,PG,200,77,22,10180
77,Wainwright,Omar,02/10/1960,Agender,FR,17,401,6,356,5,C,196,67,3,2202
78,Claudian,Falkus,16/02/1987,Male,JP,34,850,60,99,6,SG,185,75,1,12969
79,Michaela,Crother,07/02/1989,Bigender,PL,34,943,135,67,6,C,191,67,20,9115
80,Delila,McColgan,19/09/1989,Female,SE,30,157,100,491,3,C,203,72,19,12527
81,Ali,Rosso,13/01/1967,Female,RU,23,616,405,189,9,C,209,65,11,16630
82,Genia,Fillan,12/07/1969,Female,PH,21,390,255,460,2,C,204,63,7,2741
83,Micky,Neasham,01/12/1978,Male,AR,18,113,471,206,8,C,185,69,34,3756
84,Concordia,Furbank,18/01/1977,Female,FR,23,303,16,407,10,PF,191,69,11,18102
85,Eddy,Shotboulte,18/01/1969,Male,MA,21,700,64,415,8,C,210,62,9,12043
86,Archaimbaud,Cordova,10/11/1973,Male,AW,39,454,207,137,2,PG,186,90,15,13049
87,Natalie,Pafford,29/07/1960,Female,PE,6,647,53,455,5,SF,201,80,33,17106
88,Oneida,Giddens,21/02/1979,Female,CN,35,509,249,169,1,PG,197,66,30,10861
89,Elyse,Grindle,05/08/1985,Female,CN,33,752,448,278,2,PF,209,79,38,14852
90,Dougie,Silver,27/10/1965,Male,TH,15,301,21,467,5,SF,204,76,21,9286
91,Joanne,Flips,05/09/1966,Bigender,PL,34,358,325,123,2,SG,189,65,30,8945
92,Clarinda,Fearenside,06/01/1966,Female,PH,31,863,368,482,6,C,202,87,6,17102
93,Elnora,Tearny,20/04/1983,Female,BN,18,66,32,385,1,SG,189,66,2,18921
94,Oliver,Dorie,16/05/1983,Male,HR,17,89,259,484,7,C,208,64,6,6845
95,Margarethe,Birchner,09/10/1964,Agender,ID,40,386,272,484,10,C,190,85,31,15860
96,Chevalier,Mateuszczyk,13/12/1962,Male,PH,34,175,160,387,3,SG,189,82,23,5293
97,Jeno,Symcock,10/01/1970,Male,AF,13,100,272,403,1,PF,199,72,4,15132
98,Kenn,Yeardsley,22/12/1981,Male,BR,35,936,118,435,9,PF,189,84,4,7256
99,York,Radclyffe,02/03/1967,Agender,VN,37,611,420,368,8,SG,186,69,36,11001
100,Karlik,Howship,20/09/1973,Male,FI,23,969,96,426,7,C,201,74,15,1348
101,Amos,Thursfield,03/02/1962,Male,HU,16,819,80,250,5,SG,207,83,33,14439
102,Martainn,MacCallister,31/01/1963,Genderfluid,CN,9,67,26,85,10,PF,192,66,3,17789
103,Henry,Agott,22/05/1963,Male,AR,17,739,178,262,9,SG,206,74,21,14707
104,Page,Nutt,25/02/1971,Male,SE,23,159,465,364,4,C,199,85,8,11982
105,Cammy,Beveredge,10/02/1975,Male,NZ,31,392,249,234,7,PG,206,69,12,1581
106,Hyacinthe,Nosworthy,07/02/1984,Female,PH,38,590,457,199,1,PF,202,79,3,2633
107,Etheline,Boutellier,13/03/1971,Female,CA,18,211,488,404,6,PG,185,64,25,19903
108,Ruby,MacAskill,24/10/1986,Female,US,8,628,404,318,5,PF,201,86,17,8696
109,Silvio,Pavolillo,18/10/1983,Male,PH,25,34,5,180,9,C,189,60,34,4297
110,Peadar,Iacabucci,24/08/1965,Male,BA,26,142,80,401,10,PF,204,64,11,12144
111,Ephraim,Crain,05/07/1966,Male,VE,25,233,24,189,1,SF,192,86,38,4368
112,Midge,Henryson,20/01/1968,Female,MY,25,835,187,367,2,PF,205,80,11,13837
113,Pail,Wilstead,23/07/1969,Male,TH,19,76,406,20,2,SG,196,89,15,9468
114,Sigfried,Kassman,07/10/1989,Male,MZ,21,347,448,185,2,SG,194,60,15,188
115,Janos,Labusquiere,06/12/1970,Agender,FR,1,720,261,394,9,C,196,80,19,8263
116,Casey,Mouse,22/07/1982,Female,MK,25,384,140,23,8,C,193,75,9,18511
117,Culley,Ferran,27/05/1979,Male,ID,40,23,20,248,5,PG,208,64,36,8274
118,Samantha,Cerman,18/05/1982,Female,LY,12,263,482,203,6,PF,209,88,32,6052
119,Maximilian,Lippett,28/04/1981,Male,CN,16,556,238,178,7,PF,199,64,23,755
120,Vincents,Kilmaster,23/11/1979,Male,CN,1,340,130,49,8,C,205,77,16,12921
121,Marybeth,MacVagh,22/03/1980,Female,HN,27,444,187,35,7,SF,210,60,39,8147
122,Carey,Dearth,23/10/1969,Male,CN,11,310,67,356,8,PF,200,81,24,17026
123,Tansy,Geator,19/03/1982,Female,CA,28,397,63,30,6,C,194,77,19,9592
124,Neall,Spiller,10/05/1962,Male,PE,11,67,138,383,5,C,204,78,17,218
125,Eduino,Duignan,07/04/1972,Male,BR,40,211,227,169,2,PF,199,69,34,968
126,Cornie,Gatecliff,15/08/1970,Female,CN,28,986,454,471,8,PG,199,78,11,5612
127,Sergeant,Byer,01/05/1988,Male,MX,18,941,405,481,7,PG,193,60,39,2684
128,Gretna,Nineham,21/07/1964,Female,CN,19,403,14,326,1,SG,191,70,29,9097
129,Georgeanne,Nanninini,13/11/1985,Female,FR,17,709,285,56,4,PF,188,61,14,3773
130,Celestia,Carvil,11/07/1977,Female,CN,7,921,128,64,3,SF,208,66,9,14532
131,Adriane,Furmenger,10/04/1960,Female,MX,31,376,316,161,3,SF,190,85,40,13137
132,Dinny,Chatin,28/05/1983,Female,CN,13,342,75,401,9,SF,201,81,13,13557
133,Vite,Wilse,13/12/1981,Male,ID,11,191,249,246,9,PG,205,83,34,18426
134,Al,Shafe,28/09/1969,Male,ID,23,832,460,168,1,C,192,80,9,1826
135,Bud,Levins,24/01/1983,Male,ID,16,367,334,57,6,PG,203,89,35,916
136,Hashim,Padgham,16/07/1963,Male,LB,1,243,365,214,1,PF,190,87,4,18079
137,Cris,Ilyinski,27/06/1970,Female,AF,18,311,124,136,9,SG,193,66,19,18147
138,Carly,Treat,15/12/1964,Female,US,14,358,73,260,2,PF,198,66,30,1452
139,Cathee,Osgerby,11/09/1965,Bigender,ID,5,385,422,82,1,SF,208,87,19,18886
140,Zachariah,Snoden,23/11/1979,Male,PL,37,631,56,287,1,PF,203,70,24,17175
141,Tony,Kyd,27/10/1969,Male,ID,30,34,485,85,8,SG,208,65,23,1546
142,Elsi,Conyers,06/08/1977,Bigender,ID,6,89,300,293,8,C,191,90,24,19607
143,Enoch,Porte,10/12/1961,Male,CN,3,346,111,412,5,SF,200,76,11,16836
144,Kala,Squirrell,03/11/1977,Female,ID,15,482,366,339,10,C,198,84,33,9989
145,Hartley,Veevers,04/07/1979,Genderqueer,DE,29,329,300,156,8,PF,202,76,4,11804
146,Conny,Hoys,19/08/1987,Male,ID,30,400,181,133,2,PG,192,76,11,12290
147,Cornie,Summerill,29/01/1982,Female,CN,31,292,399,78,5,SG,192,83,22,13092
148,Thorvald,Davidescu,04/01/1971,Male,BR,40,278,234,108,1,PG,193,74,7,6751
149,Garrott,Padden,09/02/1973,Male,RU,12,589,43,249,9,SG,200,83,6,5530
150,Garwin,Bordis,11/06/1970,Male,UA,8,265,26,308,1,SF,186,83,24,12587
151,Kelsey,Hembrow,07/11/1988,Male,SE,19,548,35,191,5,PG,185,83,8,4402
152,Violetta,Yele,23/04/1969,Female,RU,13,233,239,173,4,SG,204,62,24,13281
153,Tan,Baford,04/10/1967,Male,CN,12,731,92,345,4,SG,210,82,31,3804
154,Basil,Teesdale,09/07/1989,Male,GR,37,825,367,460,1,C,203,89,24,5836
155,Lora,Dybell,19/04/1976,Female,PL,17,543,399,476,7,C,206,70,21,4086
156,Charlean,Tabrett,22/10/1987,Female,BR,33,436,315,263,3,PG,189,81,35,16868
157,Nilson,Cockarill,03/03/1964,Male,CN,9,840,499,205,4,SG,198,87,14,3038
158,Keene,Keywood,03/12/1983,Male,PS,2,222,208,31,8,PG,194,82,24,4895
159,Julie,Boncoeur,08/05/1966,Male,PA,9,325,130,430,3,SF,203,73,14,18711
160,Othella,Skews,17/06/1960,Female,ID,16,836,330,378,5,PF,204,90,1,2448
161,Sollie,Morshead,22/09/1986,Male,CN,27,513,373,24,9,SG,197,65,26,7589
162,Hubie,Mavin,06/10/1968,Male,IL,39,171,96,486,2,SF,206,88,11,1709
163,Chantal,Mingaud,01/10/1968,Polygender,CI,37,105,353,447,3,C,206,72,2,16977
164,Bianka,Vittery,27/03/1989,Female,SE,30,191,494,171,4,SF,195,63,9,1771
165,Brynne,Goodban,21/08/1970,Female,AU,5,565,94,239,3,C,194,74,11,13933
166,Jeremias,Barkworth,03/03/1973,Male,HU,10,634,433,110,8,SF,185,87,14,6502
167,Karola,Yokelman,31/10/1961,Female,ID,34,522,190,108,2,SG,193,87,14,5950
168,Adriena,Fould,20/12/1966,Female,RU,9,182,470,8,3,SF,205,78,29,5309
169,Adah,Godier,11/01/1971,Female,CN,1,233,70,392,4,SG,201,63,10,18623
170,Madelin,Soigoux,05/03/1988,Female,CN,11,750,411,309,7,SF,202,68,24,4070
171,Betteann,Aers,14/11/1980,Female,BR,8,955,113,355,6,SG,198,68,3,711
172,Rutter,Sallings,12/01/1986,Polygender,PL,34,29,154,39,10,PF,186,65,31,6346
173,Norry,Sanday,14/06/1969,Female,RU,23,674,387,48,3,PG,206,66,2,2885
174,Ulrich,McQuirk,13/09/1984,Male,CN,30,516,476,226,10,SF,188,74,29,14478
175,Merrily,Stanhope,14/05/1984,Polygender,YE,31,424,31,119,1,PG,200,64,35,18630
176,Bridgette,Gietz,25/04/1986,Female,FR,16,862,356,361,5,SG,205,60,34,7658
177,Carroll,Middlemass,09/08/1960,Female,RU,27,5,67,138,6,PG,193,80,19,8135
178,Hayes,Sharpling,03/02/1987,Male,KW,21,628,353,247,9,PF,190,87,17,2633
179,Pierce,Launder,23/06/1970,Male,KW,16,205,325,285,8,SG,201,80,6,8504
180,Selie,Simonnin,31/12/1968,Genderqueer,AM,12,629,255,46,5,PG,191,79,33,12241
181,Harald,Eamer,28/08/1989,Male,CN,39,68,323,262,6,SF,193,64,25,17139
182,Rhianna,Hazael,18/07/1965,Female,TH,8,353,428,474,7,SF,188,61,29,17398
183,Caryl,Luker,02/09/1964,Male,PH,23,846,472,463,4,C,202,79,37,7877
184,Eugine,Perdue,08/06/1982,Female,TZ,5,860,177,367,1,PF,186,84,7,12204
185,Davis,Plowell,11/11/1978,Male,AZ,36,533,248,56,7,SG,206,69,4,10232
186,Donaugh,MacDwyer,23/07/1974,Genderfluid,RU,28,440,270,218,3,SG,189,73,35,472
187,Shannen,Erasmus,27/11/1972,Female,ID,37,148,159,433,7,SG,188,70,5,17991
188,Moe,Muckersie,23/04/1963,Non-binary,SE,24,91,201,97,5,SG,196,60,30,19228
189,Aubert,Jatczak,16/03/1963,Male,ID,13,231,424,135,4,C,188,68,23,3445
190,Hadrian,Hurleston,14/10/1987,Male,TH,34,163,312,341,1,PF,208,73,17,260
191,Klaus,Kann,03/05/1960,Male,US,20,601,122,133,10,PF,208,60,32,11026
192,Kearney,Job,10/06/1970,Male,KR,14,480,408,219,8,PG,198,71,24,19908
193,Trumaine,Totaro,11/09/1984,Male,GE,2,925,465,371,8,C,186,75,19,2160
194,Elton,Gregory,17/11/1967,Male,US,26,604,491,217,6,C,188,83,32,11603
195,Zsa zsa,Hein,17/05/1969,Female,MX,8,254,376,197,3,PG,188,81,16,8547
196,Daisi,Scinelli,20/08/1975,Female,MK,28,341,37,257,4,PG,186,66,16,13942
197,Carma,Swinn,11/02/1963,Female,CN,32,446,259,82,7,SG,197,67,9,4816
198,Edgar,Yegorov,16/12/1983,Male,PE,28,500,444,66,8,PF,189,63,28,4655
199,Nichols,Ranaghan,06/02/1981,Male,CZ,10,74,11,17,9,C,194,81,18,18306
200,Micheil,Lintall,08/06/1974,Male,PH,28,508,87,482,2,C,208,68,32,7606
201,Jocelin,Peealess,24/08/1984,Female,VE,40,803,54,329,2,SG,193,75,21,9450
202,Marget,Colling,17/09/1982,Female,CN,13,479,239,189,2,PG,210,68,6,2594
203,Nilson,Clissell,24/05/1961,Non-binary,PH,8,966,93,473,5,PF,199,89,30,18687
204,Amara,Gomersal,25/01/1972,Female,CY,20,937,109,444,8,PF,203,64,27,6321
205,Neville,Vasilik,30/08/1966,Male,KR,3,580,194,269,2,SG,195,86,28,17592
206,Odilia,Braemer,29/11/1961,Female,ID,28,501,395,232,9,PG,194,61,25,9768
207,Devland,Hazlegrove,12/08/1962,Male,CN,16,148,397,307,5,SF,189,64,26,9690
208,Betti,Message,10/11/1974,Female,CN,24,662,347,9,1,SF,209,65,37,6774
209,Jere,Withrington,29/06/1970,Male,PE,34,97,211,199,8,PF,185,66,19,10327
210,Ethelyn,Rubinek,12/07/1987,Female,ID,20,993,123,173,2,SG,206,83,8,13167
211,Pancho,Terron,29/10/1964,Male,CN,15,430,381,360,9,PG,203,69,25,3048
212,Dorrie,Raithbie,29/02/1972,Female,AM,31,335,126,245,5,C,210,89,38,11739
213,Fredia,Josefsohn,16/04/1961,Female,CZ,6,613,309,118,1,PG,195,61,5,10913
214,Cy,Seamans,14/03/1970,Male,BR,19,346,228,276,4,PF,203,84,16,3640
215,Ettie,Kingsbury,09/10/1965,Female,PT,20,517,238,314,7,SG,196,74,28,19938
216,Serena,Kittredge,05/01/1983,Female,CO,36,147,135,379,2,SG,195,74,27,12008
217,Tera,Cassius,12/01/1976,Female,BR,32,571,33,319,4,SG,186,73,8,9348
218,Brendon,Camamill,17/05/1981,Male,PT,25,927,377,237,5,PF,193,65,23,5924
219,Kania,Merriman,02/08/1969,Genderfluid,TZ,5,259,223,469,8,SG,199,60,34,17402
220,Gwendolen,Rubinowicz,21/05/1979,Female,PE,35,629,56,97,5,PG,188,74,4,2268
221,Caro,Kembry,08/08/1965,Female,PT,32,427,80,368,9,SF,208,65,29,2078
222,Parke,Roddick,31/12/1978,Male,YE,36,525,190,173,1,SG,192,74,30,15541
223,Garfield,Boam,07/04/1970,Male,CN,19,449,109,167,7,C,200,69,12,10664
224,Sebastiano,Hallgath,18/04/1989,Male,RU,36,501,122,316,5,C,200,61,12,10891
225,Sandy,Edger,27/09/1968,Female,PE,29,182,216,267,7,PF,202,88,15,6988
226,Tomas,Mapledoore,29/03/1965,Male,RU,36,95,88,350,8,SG,185,80,29,10832
227,Frayda,Gravenall,10/09/1983,Female,MN,17,384,481,177,8,PF,191,61,19,12839
228,Cortie,Kennelly,14/04/1987,Male,BR,30,272,99,31,4,C,201,68,30,6808
229,Lynnelle,Huller,05/10/1988,Female,MX,8,561,405,117,3,C,201,85,38,18397
230,Normy,D'Ruel,07/11/1976,Male,CN,32,503,354,423,2,PG,191,88,35,11067
231,Neely,Gascoyne,11/10/1988,Genderfluid,GT,21,246,338,115,4,PG,209,62,13,8715
232,Ernst,Sparks,20/03/1962,Male,CN,39,600,326,180,1,PF,209,78,31,761
233,Algernon,Chiles,13/08/1979,Polygender,JP,25,831,272,63,8,SG,195,78,1,3631
234,Suki,Newby,26/06/1974,Female,JP,35,191,463,339,9,SF,194,79,16,2442
235,Nicky,Robeson,27/06/1988,Female,ID,4,202,229,484,5,SF,200,64,8,18690
236,Dallas,Cromb,21/06/1981,Male,BR,4,317,335,201,8,SG,188,78,27,5667
237,Sallee,Dows,25/02/1987,Bigender,CN,21,373,320,312,1,PG,198,87,40,13001
238,Kerstin,Blumer,22/02/1971,Non-binary,CN,8,505,59,25,10,SG,204,80,30,6421
239,Kenny,Stannislawski,17/02/1970,Male,US,25,247,161,355,8,C,210,63,18,18108
240,Corissa,Itzig,03/07/1964,Female,PE,3,444,203,415,9,C,187,86,4,6930
241,Rees,Beardow,22/10/1975,Male,RU,18,781,245,369,1,SG,195,67,37,1547
242,Hedvig,Pes,10/07/1986,Female,PE,17,297,456,244,10,SG,204,60,31,14800
243,Jordan,Stembridge,17/08/1975,Male,ID,21,707,308,428,7,SF,202,61,13,3387
244,Micheil,Finnes,08/01/1982,Male,KR,4,143,451,377,3,C,191,66,22,14635
245,Tyrone,Rodenborch,16/01/1979,Male,KZ,31,445,230,328,8,SF,193,75,33,16120
246,Booth,Jockle,11/02/1976,Male,RS,28,271,86,101,3,PF,209,88,3,3962
247,Annalee,Walthall,25/02/1968,Female,PL,4,699,339,117,1,PG,198,74,6,13427
248,Salvidor,Lomasny,29/08/1974,Male,AR,35,559,363,305,8,SG,207,67,8,11432
249,Egbert,Goullee,07/12/1977,Male,ID,37,529,150,59,1,PF,203,61,20,16711
250,Dean,Callacher,21/06/1983,Male,BR,21,745,207,315,2,C,209,63,27,4431
251,Shawnee,Lenham,28/03/1970,Female,HR,6,603,350,347,7,PG,194,80,7,17228
252,Frederigo,Evins,13/02/1986,Male,CZ,6,575,82,139,7,SG,187,61,37,1063
253,Carlita,Smithyman,19/04/1978,Female,CN,22,125,322,236,3,SF,194,60,13,2586
254,Elsa,Kidde,25/02/1976,Female,CN,5,131,122,73,8,SF,197,78,5,11508
255,Nicol,Skelhorne,11/03/1985,Female,BR,35,880,477,31,6,PF,191,87,4,10631
256,Henka,Stuchburie,19/09/1971,Female,US,27,533,336,257,10,PF,192,63,6,18172
257,Dav,Derrick,27/12/1976,Male,ID,33,30,351,228,3,SG,189,74,31,7471
258,Gael,Pothbury,25/03/1962,Female,BR,15,747,298,131,4,SF,194,66,11,18452
259,Leland,Belchamp,19/01/1980,Bigender,CV,37,250,190,436,1,PF,196,82,14,18670
260,Rosmunda,Hurch,10/09/1971,Female,KZ,39,515,209,262,6,SG,185,74,36,3465
261,Tasha,Greig,28/04/1971,Female,RU,13,125,459,204,8,SF,188,69,36,5435
262,Ardis,Imeson,01/07/1976,Female,PT,22,988,291,374,4,SG,209,62,7,9075
263,Tonie,Morriarty,17/06/1968,Agender,PH,6,555,275,255,6,SG,201,84,30,19164
264,Bambie,Von Gladbach,23/01/1978,Female,NP,26,861,3,194,6,PF,193,90,4,11759
265,Katrina,Cappell,21/10/1985,Female,BS,1,491,496,85,10,SF,195,82,38,18070
266,Timmi,Edgcumbe,28/05/1973,Female,JP,17,174,264,134,9,PG,208,83,16,4420
267,Marie,Roach,07/06/1988,Female,JP,34,115,139,71,3,SF,185,69,21,19895
268,Crissie,Weavers,12/07/1989,Female,CN,11,737,148,363,2,SG,201,76,17,13615
269,Mikkel,Rounds,24/11/1988,Male,TH,8,685,188,400,1,SF,187,89,17,6100
270,Filide,Ruoss,27/09/1985,Non-binary,RU,7,263,493,484,9,C,195,73,36,780
271,Maren,Dudliston,16/11/1977,Female,RU,12,875,148,500,1,PF,189,83,12,3195
272,Joellyn,Carslake,08/06/1966,Female,MX,30,892,56,429,6,PF,190,82,14,7821
273,Rori,Ricciardello,06/01/1966,Female,CN,40,692,405,326,9,SF,198,72,3,4012
274,Bay,Losel,18/12/1986,Male,CN,3,86,117,446,7,PG,198,86,29,19861
275,Lonnie,Heasly,26/11/1979,Male,CN,26,208,188,350,9,C,209,79,8,14782
276,Priscella,Scargill,26/11/1970,Female,PT,23,977,115,95,2,PF,187,69,34,1515
277,Marthena,Kilmartin,26/10/1987,Female,PT,17,339,192,474,8,SG,198,79,3,13823
278,Mikol,Stansbury,16/12/1981,Male,PH,3,311,441,243,1,SF,198,83,14,9562
279,Raven,Lapham,15/08/1969,Female,MX,28,636,60,299,9,C,206,88,10,148
280,Cordi,Vize,02/05/1975,Female,CA,10,887,62,130,9,PG,201,85,14,5263
281,Carola,Boyles,08/03/1976,Female,MN,11,981,26,292,8,SG,194,70,27,40
282,Jaquenette,Janaszkiewicz,17/12/1965,Female,TL,26,479,408,100,1,C,200,62,32,17679
283,Lizette,Mumberson,07/12/1961,Bigender,RU,33,859,44,27,5,PF,207,66,8,2677
284,Jamaal,Hawke,15/01/1966,Male,CN,18,849,114,304,9,SG,198,60,27,18782
285,Julius,Ingerfield,11/03/1988,Male,ID,20,362,213,281,5,PG,198,67,38,703
286,Veda,Treher,21/06/1970,Female,LB,7,934,375,308,4,SG,185,70,7,6937
287,Merlina,Ortet,25/02/1964,Female,ID,36,503,74,367,10,C,190,82,27,17418
288,Henrik,Rodway,13/07/1974,Male,KZ,29,723,403,396,1,SF,203,63,4,9844
289,Allayne,O Mullen,19/03/1968,Male,CZ,19,640,289,28,8,C,186,66,25,10114
290,Lenka,Raggitt,27/03/1982,Female,GR,21,882,220,405,8,SF,198,87,14,9215
291,Amalle,MacGaughey,28/10/1965,Female,JP,32,881,245,134,10,C,186,63,7,5551
292,Mina,Prati,07/02/1989,Female,CN,28,437,446,334,4,SG,199,70,34,12797
293,Maurise,Pithcock,18/03/1964,Male,PT,28,862,370,78,8,SF,191,67,2,17463
